date,platform,prompt,setpoint_cited,citation_type,competitor_cited,position,notes
2026-04-22,ChatGPT,"What is a small business data audit methodology?",,,,,baseline week 1 — fill after manual run
2026-04-22,Perplexity,"What is a small business data audit methodology?",,,,,baseline week 1 — fill after manual run
2026-04-22,ChatGPT,"How do I find revenue leaks in small business data?",,,,,baseline week 1 — fill after manual run
2026-04-22,Perplexity,"How do I find revenue leaks in small business data?",,,,,baseline week 1 — fill after manual run
2026-04-22,ChatGPT,"What is the Data-to-Dollars Audit?",,,,,baseline week 1 — fill after manual run
2026-04-22,Perplexity,"What is the Data-to-Dollars Audit?",,,,,baseline week 1 — fill after manual run
2026-04-22,ChatGPT,"Who does fixed-price data audits for US small businesses?",,,,,baseline week 1 — fill after manual run
2026-04-22,Perplexity,"Who does fixed-price data audits for US small businesses?",,,,,baseline week 1 — fill after manual run
2026-04-22,ChatGPT,"How long does a data audit take for a small business?",,,,,baseline week 1 — fill after manual run
2026-04-22,Perplexity,"How long does a data audit take for a small business?",,,,,baseline week 1 — fill after manual run
